943 1091
1 864 24062
2 508 9716
3 102 11630
4 248 36354
4 594 50611
4 682 66263
4 876 56454
4 913 59052
5 55 88679
5 56 87644
5 220 36341
5 533 25780
6 24 92316
6 450 40497
6 905 13432
7 156 40447
8 449 36461
9 610 59902
10 716 10379
10 826 47621
11 354 50259
11 542 38206
11 791 94433
11 901 25730
12 101 70975
12 337 21588
12 516 46547
12 592 24801
13 150 36784
14 449 48584
14 475 60884
14 607 62845
15 107 28378
15 742 47478
16 714 75935
16 761 41394
17 489 38628
17 760 27270
18 624 58025
18 910 54857
19 54 59410
19 57 92782
19 507 96104
19 636 66104
20 106 2626
20 389 13185
20 476 91195
20 667 26234
21 615 47836
21 709 53960
21 785 98424
22 28 60385
22 54 87872
22 275 6343
22 317 46180
22 318 750
22 431 42457
22 544 13857
22 911 32811
23 480 60280
24 620 45654
24 860 41209
25 156 64615
25 233 61894
25 286 32142
26 104 91200
26 842 92392
27 589 87787
28 343 25855
29 42 8427
29 740 52392
30 284 97401
30 567 71241
30 909 46102
31 385 13825
31 870 14650
32 329 83705
32 485 7727
33 370 75864
33 420 58761
34 71 88377
34 901 91041
35 682 87618
35 872 87209
36 688 1769
37 232 45353
38 97 84162
38 511 11776
39 272 45181
40 47 62865
40 809 83276
41 141 83445
41 244 45543
42 556 49097
42 739 74286
43 323 31458
44 53 60999
44 850 28098
45 235 25314
46 142 79238
46 479 61681
46 498 59148
46 569 42405
47 729 95106
48 309 93491
48 747 92436
49 588 54090
50 461 46752
50 894 20315
51 66 44343
51 296 85278
51 330 49950
51 525 39076
51 602 39663
51 799 6406
52 139 33465
53 460 57599
54 349 5267
55 75 77966
55 792 70019
57 370 4452
58 93 81588
58 397 22774
58 442 59338
58 832 36088
59 276 80601
59 459 49454
59 814 52588
60 235 75284
60 265 32553
60 678 2678
61 528 45148
61 906 23258
62 262 45209
62 485 28477
62 608 13747
62 685 98923
63 334 96260
64 379 87341
64 699 21204
65 150 21929
66 564 90190
67 798 30379
68 153 73661
68 584 15476
68 795 9067
69 938 86240
70 718 13010
71 239 83876
71 828 18711
72 130 83202
72 729 47807
72 923 73454
73 477 14626
73 614 47360
73 840 40291
74 135 76081
76 722 63153
77 682 91868
77 757 60457
77 799 51278
78 593 52790
79 873 35971
80 210 78032
80 484 19805
81 586 90371
82 364 57574
82 374 65899
82 407 27393
82 566 72953
82 634 93608
82 733 59928
83 539 98724
84 141 63181
84 837 23289
85 425 5542
86 89 59813
86 213 31256
86 388 39743
86 549 81206
86 675 51637
86 797 213
86 915 33504
87 189 1210
87 472 49076
87 773 81823
88 841 71726
90 516 43451
91 556 45654
92 249 63739
93 866 54139
94 185 81168
94 370 75200
95 650 43455
96 226 37253
97 272 28634
97 887 38567
98 148 20265
98 434 5364
99 837 81116
100 431 23162
100 468 9200
100 559 1323
101 236 99369
101 826 34596
102 240 20405
102 424 40978
103 622 20920
104 216 72388
104 836 7858
105 347 71490
105 511 13053
105 603 74070
105 880 49551
106 593 58628
106 612 26123
107 357 28201
107 406 54134
107 784 13813
108 184 45193
109 142 77613
109 812 41554
109 882 37964
110 234 78118
110 480 70397
110 486 30332
110 494 24727
110 665 53605
111 363 59051
111 536 40698
111 780 66567
112 816 55859
113 896 87773
114 221 70274
114 688 57453
115 861 11230
116 418 20678
116 621 41314
117 213 50196
117 293 5255
117 484 5416
117 610 26242
117 664 6898
118 392 91633
119 142 29616
119 417 26596
119 735 56196
119 829 73329
119 852 38785
120 412 26589
120 920 84220
120 936 33607
121 173 23428
121 451 37052
122 318 45928
122 597 85008
122 823 93423
123 302 21970
123 428 98525
123 898 14568
124 145 25914
125 179 39323
126 523 32898
127 489 88194
128 560 98817
128 829 26579
129 467 61237
129 895 50617
131 823 4965
132 281 85107
132 385 37261
132 705 91826
133 256 21764
134 395 38236
134 776 66414
135 397 50647
136 297 80926
136 836 4882
137 750 98320
137 836 27999
138 202 57419
138 328 94138
138 368 90687
138 465 53160
138 472 41960
138 488 95719
138 513 59450
138 544 75954
138 629 64806
138 665 62101
138 672 26811
138 794 77071
138 900 69948
139 253 63929
139 747 39275
140 538 88030
142 697 85400
