912 1125
1 67 71829
2 99 57640
2 690 55150
2 843 91401
3 336 76379
4 193 27155
5 17 75826
5 148 5252
5 179 89631
5 399 9407
5 686 52022
5 799 81789
6 218 82140
6 303 52416
6 665 7451
6 720 24896
7 547 65072
7 912 55267
8 579 19018
8 771 21833
9 721 94589
10 488 70016
11 17 41089
11 451 545
11 760 46455
11 778 44274
12 165 43997
12 189 39999
12 563 97333
12 755 68191
13 46 32461
13 459 96124
14 163 7612
14 280 12293
14 597 6092
14 729 34201
14 794 80980
15 522 70878
15 805 72699
15 862 31270
16 229 94766
16 544 39675
16 900 7548
18 628 87294
19 617 7031
20 434 97656
20 551 80097
20 652 99600
21 348 44233
21 637 27205
22 55 74661
22 80 42235
22 144 45158
22 251 54857
22 424 40159
22 686 96533
22 796 3623
23 414 70676
23 450 14876
23 712 77131
24 603 40006
24 888 10051
25 439 45681
25 640 8215
26 844 47441
27 394 80677
28 203 40298
28 742 40417
29 804 54019
29 818 23537
29 853 59812
30 71 87526
30 598 55178
30 837 62893
31 151 49311
32 172 12864
32 222 70477
33 438 71120
33 576 17723
33 609 31407
33 724 82991
34 38 35672
35 442 48156
35 721 29709
35 808 66041
36 199 37413
36 214 5528
36 302 82800
36 383 97301
36 455 95477
36 716 38091
36 749 91277
37 368 29854
37 828 59646
38 65 49944
38 859 70743
39 386 53809
39 469 52404
39 637 1202
39 695 37721
39 730 58047
40 484 46293
40 494 61341
41 143 76266
41 266 20214
41 423 92587
41 788 17657
41 880 14396
42 848 64012
43 92 93312
43 308 87223
43 721 87803
44 198 58079
44 745 63182
44 776 8223
44 790 60197
45 148 47728
46 124 46391
46 893 43070
47 585 37173
47 827 3225
48 734 9187
49 375 14848
49 686 37445
50 91 36847
51 92 51219
51 125 4664
51 233 15246
51 248 67831
51 283 69142
51 366 19505
51 689 43129
51 693 51499
51 717 4702
52 296 79846
53 699 60219
54 849 42325
55 139 249
55 163 63557
55 852 3055
55 904 47588
56 233 50887
56 274 924
56 380 43101
56 559 16311
56 651 94470
56 888 58446
57 167 5353
57 428 38355
58 193 36668
58 236 78377
58 830 36784
59 263 81453
59 412 93294
59 617 21548
59 681 5676
59 806 66634
60 359 94380
60 588 69492
61 572 4170
62 791 23613
63 221 82854
63 702 39158
64 131 33911
64 468 86171
64 748 50575
64 866 19355
65 208 51659
65 293 95106
65 893 47575
66 67 63893
67 330 64747
67 501 48659
68 362 98280
68 371 58847
68 402 41161
69 208 61488
69 306 54882
70 81 1991
70 768 47056
71 574 68341
72 802 56794
73 198 25924
73 269 90534
74 234 76322
74 262 68654
74 551 77872
74 670 57966
74 673 13322
74 694 1955
74 834 45131
74 851 59224
75 610 89657
75 905 66205
76 182 78792
76 499 8495
77 212 9787
77 879 34728
78 187 54104
78 386 26252
79 180 84695
79 392 45956
79 460 49222
80 341 73990
80 348 9676
82 804 57989
82 850 95699
83 817 93363
84 134 64986
84 173 24758
84 782 3838
85 621 86876
86 104 66549
87 245 81078
87 262 75274
88 550 49606
89 550 35236
90 363 75496
90 389 44714
90 807 23898
91 421 28314
91 637 75908
92 252 13655
92 314 32790
92 436 81007
92 625 25635
92 642 42858
92 673 5993
92 788 21515
92 879 45929
93 126 63841
94 222 58933
94 475 25887
94 538 63726
94 801 80455
95 415 82086
95 531 33947
96 310 32125
