930 1808
1 156 66348
1 565 70209
2 49 91493
2 92 23985
2 212 92850
2 371 92451
2 916 56353
3 341 46212
3 507 63730
3 539 63398
3 710 59086
4 488 87692
5 333 62569
5 419 53069
5 482 44058
5 771 31030
6 108 85949
7 235 70256
7 459 13594
7 640 95304
8 580 17029
9 173 80931
9 215 44896
9 879 21750
10 200 29705
10 246 50809
10 625 61134
11 94 74809
11 479 80998
11 818 30
11 833 43042
11 856 13455
12 464 51121
12 640 62645
12 694 9709
12 887 50309
12 889 53071
13 46 50398
13 128 49554
13 298 90484
13 387 78888
13 437 80006
13 647 28001
13 769 15094
13 904 89364
14 208 68479
14 395 20297
14 676 46443
15 256 89292
15 303 31504
15 388 97290
15 475 41493
15 725 48560
16 98 34706
16 426 25171
16 616 38816
17 161 42546
17 231 77583
17 336 96240
17 448 33672
17 506 28170
18 180 5963
18 200 76250
18 205 62413
18 311 73086
18 725 5514
19 143 84360
19 145 57182
19 322 87752
19 443 34433
20 118 72591
20 161 84807
20 814 23978
20 886 11961
21 179 95036
21 869 28480
22 111 46942
22 700 17914
23 44 35141
23 476 49133
23 571 21274
24 102 17261
24 535 31920
24 543 3611
24 586 31292
24 611 22191
24 701 28392
24 856 10358
24 859 10346
25 40 92622
25 56 84531
25 493 94063
25 866 50926
26 239 19733
26 759 87977
26 786 62088
26 806 97
27 69 55550
27 77 7981
27 98 2823
27 428 80463
27 465 82605
27 556 58807
27 686 60436
27 833 95098
28 113 88259
28 183 18149
28 214 89988
28 561 97226
28 713 57126
29 42 59867
29 152 83608
29 230 75748
29 899 99362
30 197 12679
30 274 54736
30 705 53897
30 714 48233
31 175 35737
31 268 62683
31 366 3132
31 546 96739
32 115 98264
32 782 43664
32 918 85651
33 41 17302
33 615 86994
34 383 25124
34 739 46177
34 864 55463
34 876 14579
35 63 25503
35 451 8541
35 454 16675
35 654 94189
35 719 56612
35 843 112
36 344 88137
36 720 99259
36 851 49210
36 875 58971
37 119 68376
37 602 6864
37 810 26254
38 193 97844
38 303 1731
38 356 61117
38 486 98611
38 583 8718
38 634 13133
39 49 98458
39 173 35315
39 349 63118
39 393 55526
39 436 44684
39 588 30919
39 776 40535
39 927 64981
40 85 83283
40 137 26547
40 208 28552
40 387 16277
40 526 70188
40 741 21066
40 766 74196
41 120 1711
41 160 25160
41 664 5283
