99922 175863
2 64736 6
2 70935 92
3 39672 3
4 36946 76
4 49772 53
5 19194 44
5 43881 59
5 84048 41
6 74819 78
6 92950 17
7 410 94
7 37513 91
7 73337 31
8 24699 10
9 10446 70
9 93059 26
10 55259 57
10 64603 83
11 12078 67
11 35158 2
11 39721 78
13 2762 98
13 9425 42
13 61847 31
14 53318 97
14 98950 20
15 6759 25
15 71136 86
16 13167 92
17 49096 15
18 42729 35
18 62052 15
18 62386 29
19 91069 67
20 4001 14
20 13176 52
20 47001 67
21 3647 42
24 42336 46
24 88437 58
24 98347 24
25 5700 24
26 20318 69
26 79184 68
26 82930 75
26 93651 84
27 5850 32
27 52030 22
28 55012 58
28 83503 11
29 58719 12
29 81572 83
31 74251 17
31 90879 74
33 87925 58
33 96205 31
34 45293 50
34 87830 7
35 17259 42
35 23632 87
36 62283 36
36 68933 26
36 96647 41
37 37643 40
37 55851 91
37 91447 21
37 97780 71
38 1983 52
38 4653 90
38 25164 41
38 39654 75
38 56269 98
39 805 16
39 46255 4
40 3721 20
40 47658 68
42 69283 49
43 1643 45
43 40299 1
43 47801 47
43 82529 97
44 21768 57
44 22698 27
46 34750 37
47 67645 77
48 30516 75
48 34000 94
48 53380 78
48 93893 29
49 35996 51
49 73116 20
49 75080 69
50 87273 49
51 35898 60
51 38422 63
52 3854 50
53 867 13
53 68196 80
54 13026 98
54 25777 42
54 73319 11
54 77372 78
57 2209 37
58 46124 7
59 48934 75
59 84114 82
60 70660 66
60 84175 85
61 70907 58
62 25907 53
62 32118 63
63 26882 50
65 57492 89
66 66708 40
67 8277 15
67 28825 9
68 19689 54
69 62910 11
70 10329 19
71 7404 13
71 96481 72
72 631 72
72 63636 34
73 48264 3
74 24272 30
74 51151 11
74 91065 62
74 93666 20
74 94197 71
75 57863 86
75 67626 86
75 77774 80
75 87474 11
76 99241 86
77 53979 16
79 29847 75
79 33291 27
79 58205 47
79 85279 20
80 41290 34
82 13679 66
82 18828 40
82 62260 2
85 39472 7
85 81510 50
86 44896 96
88 57543 20
89 55618 89
89 67812 12
89 80405 24
89 85177 49
90 85127 34
90 98651 40
91 258 37
91 24474 38
93 797 93
93 36165 15
93 59385 84
94 17002 56
94 41445 62
95 33582 92
95 50664 42
95 76828 56
96 52176 51
97 18177 83
97 74483 2
98 6326 10
98 29107 73
98 42113 40
98 45555 92
98 46337 30
98 58156 34
98 90229 64
100 61355 30
100 70581 13
101 52473 64
101 87144 99
102 35421 70
103 97869 69
105 68118 35
105 68556 47
105 99691 96
106 680 47
106 37988 92
106 49487 45
107 3316 88
107 18556 57
107 38753 81
107 39604 50
107 52661 75
107 67245 70
107 80511 85
108 74580 27
108 95361 16
109 55703 78
110 33116 73
110 93647 83
111 20335 89
111 46570 74
111 62569 32
111 84734 23
112 21566 92
112 59376 95
112 91284 59
113 42136 23
113 46859 32
113 88578 14
114 35548 69
115 41669 60
116 15239 62
116 84901 56
117 35797 22
117 95536 40
118 4689 31
119 37541 89
119 43048 100
122 4130 71
122 15774 88
122 51453 68
123 28570 10
123 44900 19
123 67716 1
124 82462 18
125 29579 96
127 58015 73
128 47957 56
128 80260 43
130 34189 20
131 13622 49
131 32685 30
131 98012 44
134 3865 29
134 38271 78
134 51106 22
135 7660 36
135 64091 11
136 49882 24
137 4060 61
137 89438 33
139 45349 65
140 2175 30
140 3960 12
140 8105 51
140 40387 100
140 53425 62
140 87540 47
140 91322 8
141 21136 69
141 26737 31
141 27994 77
142 13918 50
142 24100 98
142 29886 10
143 77930 71
143 79598 80
144 64119 75
145 13567 46
145 31306 30
145 72312 20
145 98196 59
146 22860 67
148 54445 41
151 15997 59
151 69349 31
152 92636 66
153 38411 94
153 43235 59
153 49627 15
154 39327 10
154 68289 66
154 76437 16
154 87329 87
156 90874 91
156 95490 95
157 57291 1
157 81114 32
161 4548 21
161 24177 48
161 47876 85
161 50097 20
161 92155 86
162 1702 37
163 26303 21
163 67432 46
163 79043 16
164 73635 1
165 82392 55
166 172 63
166 45967 67
166 84374 3
167 68936 84
167 92142 27
169 88535 32
170 27726 86
170 90334 94
173 52194 2
173 61515 53
174 6822 8
174 67017 14
175 51501 60
175 88165 75
176 21748 93
176 57928 8
176 68317 43
176 92683 2
177 7414 3
177 54328 44
177 93661 95
178 19953 51
179 9735 6
179 72875 7
182 11593 62
182 12014 96
182 72226 10
182 77753 82
183 12911 58
183 47990 76
183 86768 6
184 19771 7
184 27107 77
184 93782 28
185 73841 11
187 23704 99
189 76020 73
189 77199 34
190 8609 84
191 3054 2
192 2881 87
192 24329 29
192 59435 19
193 56684 94
194 81250 54
196 98926 69
197 8212 64
197 15301 54
197 52453 76
198 32664 33
198 87210 21
199 91244 28
200 9640 15
200 54396 1
200 86271 69
200 90820 38
200 98330 43
203 2156 57
203 72279 98
205 49204 27
206 60346 96
207 11195 84
207 37159 29
208 39821 85
208 97712 73
209 41600 36
209 63404 54
210 48118 72
211 55578 27
211 72759 27
212 2177 59
212 59214 87
212 96968 56
213 18224 52
213 60144 28
213 94013 100
214 71147 82
215 37187 25
215 65616 21
216 14367 93
217 8634 63
217 30135 73
218 31146 7
218 45435 27
219 4867 55
221 84675 84
222 9560 94
222 53892 73
224 28619 12
224 76584 3
225 30902 75
226 2380 14
226 40533 14
227 46570 82
227 49606 90
227 65229 74
228 10477 80
228 20434 3
228 21663 64
228 61948 40
228 81543 91
229 72508 66
230 40410 35
230 84739 41
230 98521 100
231 28084 32
231 59779 25
231 64511 93
232 85807 16
233 11700 98
235 23962 89
235 40104 15
235 73707 84
235 87516 16
235 87838 71
235 90019 98
236 50116 95
236 78476 35
238 94401 47
240 33439 46
240 43878 97
240 67256 79
240 85306 47
241 56919 36
242 3101 89
242 43361 52
242 78955 25
244 52858 16
244 99033 50
245 14975 18
245 24635 74
245 35520 46
246 9505 91
246 70963 58
247 4439 69
247 30841 14
247 50066 43
247 63132 100
247 77609 77
247 87627 79
248 69754 5
248 85808 98
248 90079 62
249 23680 8
249 24717 54
249 58012 32
250 84735 18
253 36249 75
253 41878 61
254 88236 89
254 95242 92
255 45555 23
255 92838 65
256 19641 40
256 62578 1
257 18228 100
257 96764 13
258 5529 8
258 89068 72
258 93774 29
259 16623 73
259 40532 81
259 78093 40
260 45369 22
262 16677 79
263 488 63
263 72898 19
263 90164 42
266 7635 40
267 45297 53
268 20491 22
269 15742 85
270 12912 94
270 48338 41
271 51852 68
272 5066 72
272 20247 79
273 4953 79
273 7321 75
273 83659 94
274 4043 63
274 21648 10
274 82949 96
275 30040 67
275 66768 30
276 11745 83
277 31494 84
277 79778 54
279 41216 15
279 58101 87
279 95291 73
280 3846 46
280 72654 43
280 93624 42
281 1524 95
281 26027 33
281 79926 99
281 85850 81
281 93410 88
281 98978 47
282 18863 41
282 77282 2
283 20926 30
283 70041 91
283 72410 9
284 14122 23
284 49015 23
285 63061 85
286 45589 37
286 91894 39
287 81432 23
288 9821 58
288 88741 63
289 76580 8
289 78358 56
290 59786 68
291 45826 69
292 32261 57
293 99015 68
294 12104 54
295 10722 75
295 53303 60
296 67626 87
297 62049 70
297 75250 57
297 86584 87
298 29475 68
298 53584 26
299 23063 67
299 26170 69
299 60075 62
300 12775 50
300 30570 49
300 44125 54
300 48252 24
300 65220 90
301 77160 99
301 96827 35
302 2171 11
302 30745 2
302 33825 63
302 82971 42
303 43609 41
303 43613 45
303 70511 19
303 98955 36
304 39516 52
304 69970 36
305 83643 22
306 17411 76
306 25239 50
306 74762 81
309 53233 80
309 64913 59
310 98983 38
311 61857 100
311 65494 37
312 24644 36
314 40691 63
314 73831 53
315 78114 37
315 91813 97
317 1535 65
317 8340 5
318 9714 36
319 11838 86
320 14131 93
320 94783 37
321 36220 45
321 49699 70
322 28825 83
322 79634 100
323 3284 23
323 43935 9
324 52 52
324 48142 57
324 76225 43
324 83654 69
325 68263 23
325 90678 79
326 42464 4
326 68100 82
326 84964 35
327 94980 28
327 95245 84
328 30665 3
328 37733 96
328 71689 19
328 82916 37
328 83356 15
329 43004 29
329 49120 50
330 17310 95
331 33976 47
331 50541 44
332 2745 93
332 22677 77
332 80235 73
333 11489 81
334 40685 13
335 11082 42
335 55188 42
335 92161 9
336 5731 22
337 63558 16
337 73887 59
338 10519 6
338 19797 38
338 63713 98
339 36872 28
339 78112 9
339 82565 50
340 21977 67
340 30191 73
341 24007 38
341 38530 99
341 81660 60
341 83501 56
342 6214 15
342 32341 26
342 74108 25
343 1445 64
343 81708 53
344 91549 98
345 21802 80
345 48064 22
345 56587 48
345 60712 73
345 92084 55
346 18096 28
346 77107 88
347 33344 79
347 86447 9
348 63571 81
350 81798 51
350 99580 46
351 1833 2
351 15711 76
351 99650 100
352 62345 90
353 14875 17
353 34150 100
353 39056 42
354 21187 95
354 68230 6
355 22415 52
355 41814 58
355 54032 67
355 55337 36
355 57625 90
355 78068 84
355 87204 33
356 18190 31
356 99887 70
357 12167 3
357 29553 41
357 85774 32
358 20893 44
358 70077 12
359 308 76
359 79664 73
360 23411 53
360 23614 1
360 99849 60
361 40069 20
361 52942 82
363 25808 73
363 29636 41
363 60903 39
363 83416 51
363 86570 1
363 95001 88
364 56500 18
364 65598 42
364 94615 37
365 51662 1
365 72151 66
365 90874 45
365 93807 79
366 60901 58
366 71059 72
368 25352 53
369 19477 79
370 21345 25
371 23570 73
373 63361 39
374 14177 1
374 49230 71
375 9017 2
375 9371 85
376 80086 16
376 97339 10
377 44170 15
378 43241 98
378 64658 3
378 66522 19
379 99064 95
381 30135 26
382 18341 93
382 56385 12
382 74415 95
383 27497 21
383 65715 92
384 47423 63
384 80557 13
385 61023 96
387 60742 100
387 66003 58
389 9788 51
389 26986 93
389 51115 9
389 94188 17
391 22843 17
392 34898 48
392 52231 70
393 64700 40
393 69994 14
393 85857 57
394 53125 52
395 2118 45
395 5565 80
395 38642 78
395 96621 63
397 11484 70
398 15530 97
398 50624 1
399 93069 41
400 79345 78
401 6015 88
401 23453 75
401 79433 70
401 89117 7
401 93698 19
401 94906 96
402 1599 2
403 79997 79
403 86418 85
404 7837 67
404 13492 98
405 6707 90
405 20793 33
405 37984 13
405 78687 10
405 94645 60
406 37157 73
406 81016 36
407 6143 49
407 67919 75
408 29586 76
409 43297 27
410 8393 99
410 74635 77
410 88107 62
411 50097 13
412 28792 52
412 32352 98
412 49713 80
412 60611 59
412 78516 79
412 96313 47
413 76908 39
414 8294 48
414 48818 62
414 98528 54
415 17524 89
415 64756 61
416 6552 82
417 51020 43
418 2671 49
418 28035 93
419 49737 36
419 60207 44
419 85126 74
420 17725 5
420 99692 47
421 23798 85
421 82570 47
422 5037 98
423 22858 58
423 69242 39
423 72367 94
424 54848 11
424 77955 20
424 80740 17
425 31156 96
425 40770 50
426 95412 57
427 70025 28
428 15149 98
428 51695 18
428 72821 86
429 48291 76
429 79350 91
429 85048 80
429 94501 75
431 71691 97
431 99289 42
432 65136 60
432 84265 64
433 20438 67
433 82457 65
434 37155 33
434 64894 84
435 4464 45
436 5851 91
436 29385 50
437 28028 42
438 19313 63
438 67823 90
439 41348 54
439 93252 50
440 53417 37
440 76826 98
441 41129 79
442 57737 92
442 95558 13
442 97271 92
443 9517 43
443 89698 71
444 28741 48
444 52974 5
444 80902 30
447 57673 28
447 75241 75
449 42214 79
449 86188 11
450 5934 73
450 23716 93
450 54669 27
450 56778 53
451 31596 44
451 34386 10
451 78577 87
451 87158 83
453 5281 25
453 17360 63
453 75953 14
454 4186 19
454 61909 76
454 64526 72
454 99788 85
456 41663 23
456 61482 82
457 62161 29
457 87725 76
459 12827 96
459 24701 50
459 43628 34
459 86456 4
460 28792 29
461 249 46
461 33314 62
461 40914 93
461 67032 82
462 58353 53
462 68339 39
463 27827 45
463 32510 44
464 29016 39
465 30060 74
465 43561 60
465 76797 69
466 7742 92
466 21441 42
467 38036 49
468 4609 26
468 14269 19
468 35043 24
469 58411 87
471 4320 72
472 25445 92
472 27521 19
473 20893 94
475 33176 39
475 48389 87
475 99822 45
476 20121 68
