99942 164904
1 2483 25
1 26767 13
3 81083 90
4 16654 20
4 33084 1
5 8019 61
5 61445 73
6 41681 75
6 47092 8
7 65753 68
7 85940 87
7 90595 76
8 18083 100
8 62197 41
9 14244 2
9 53192 55
9 98003 62
9 99844 6
10 15072 37
10 36175 2
11 89545 95
12 15370 1
12 32781 30
12 75212 35
12 89833 12
13 43921 61
15 29203 39
16 91195 84
17 846 24
17 41170 22
17 86982 47
18 48212 59
21 90140 45
23 11942 77
24 24511 73
24 36558 1
25 88729 47
26 16332 28
26 38510 78
26 61801 10
26 96958 41
27 56125 87
27 62056 30
27 82129 70
28 34653 66
28 77342 85
28 93820 98
29 30671 27
32 4914 9
32 74927 33
34 54695 21
34 61403 91
34 69144 53
35 7103 92
35 48288 82
36 77879 59
37 67796 72
38 27427 36
39 34973 78
39 40351 58
40 5958 70
42 40688 21
42 76217 2
43 18506 26
44 43263 78
44 89710 68
44 95729 71
44 96029 83
45 76774 49
46 55951 99
48 43848 36
49 37924 71
50 53377 7
50 69650 77
52 5888 3
52 44180 84
53 49689 92
54 13945 80
54 86494 10
55 68855 18
55 83326 33
56 40881 9
57 61708 24
57 93265 15
57 93717 44
58 16712 89
58 35365 39
59 50621 61
60 20405 11
60 28417 73
60 57902 5
61 7575 18
61 55908 38
63 9181 28
64 86825 76
65 34783 52
65 61759 85
65 64618 48
65 88467 20
66 38987 88
67 74736 78
68 45519 64
69 27297 56
69 49881 94
72 70672 48
72 75719 86
73 7287 33
73 43516 16
74 16368 6
76 25320 74
76 68886 42
76 93126 92
77 32286 13
77 66465 91
78 71655 56
79 81355 57
80 1858 6
80 46225 38
80 70652 27
83 4340 80
83 28045 36
84 8281 4
84 17076 68
84 39463 82
84 47138 84
84 51412 71
86 26116 59
86 55517 39
86 74109 69
87 4849 36
87 7491 91
87 69781 93
88 12854 72
89 71984 83
90 13160 88
90 35826 17
90 97826 94
91 68796 8
91 90659 77
92 8353 87
94 84427 12
96 69283 45
96 89343 21
97 89934 27
98 3837 66
98 98148 35
99 18334 99
99 59829 86
100 6220 79
100 41053 78
100 81395 95
100 98118 9
101 33870 92
101 76265 49
103 23053 9
103 93250 26
104 27298 15
104 59318 11
105 7102 46
105 18504 93
105 60711 13
105 62607 40
105 95572 87
106 74654 13
107 61097 95
108 67614 63
108 91173 24
108 94732 36
110 16558 68
110 18079 100
110 29298 38
110 95828 86
111 91771 51
113 16225 16
113 98635 35
114 78359 45
115 10256 18
115 90481 12
116 41938 43
119 29816 66
119 83493 23
119 87231 8
121 62403 41
121 90101 73
121 99335 62
122 44341 45
122 79623 64
122 93557 55
123 8359 21
123 76854 26
124 7867 3
125 38505 81
125 43462 97
126 35569 25
126 80813 9
126 82021 54
127 20221 20
128 49346 31
132 10650 10
132 98037 99
133 93006 89
134 10323 42
134 53861 97
136 8305 45
136 30826 27
136 59758 24
137 908 85
137 7074 45
138 242 90
138 6985 88
139 39618 95
139 72652 2
139 99609 73
140 65857 38
141 47895 51
142 80809 34
143 15682 69
144 95228 51
145 43849 46
145 55934 48
146 41334 4
146 44575 94
146 56932 27
147 38745 90
147 69771 78
147 89453 16
150 9361 31
150 47019 89
150 53415 42
150 54689 3
150 89823 73
151 6238 5
152 14445 33
153 77454 82
153 78852 41
154 7409 19
154 71657 11
155 4610 56
155 31058 80
156 17788 21
157 75158 51
158 14085 22
158 73119 76
158 90786 33
158 91242 28
160 76096 74
160 79898 54
160 90819 53
