99910 153861
1 58567 86
2 56026 42
2 80318 10
2 81444 32
3 1624 8
5 49894 96
5 58122 94
5 83794 5
6 92970 58
7 61816 44
7 72807 91
8 28841 21
9 43071 40
10 70031 13
10 96173 10
11 34279 17
12 8328 81
12 15597 54
12 34141 1
13 11931 73
13 32427 43
13 33605 84
14 616 4
14 39892 66
14 41461 10
14 82086 26
15 3178 32
15 23732 92
17 81823 45
18 5092 30
18 93478 8
19 46677 14
19 63105 1
19 77388 50
20 74186 71
21 19787 15
23 75217 66
24 2538 88
24 62237 78
24 91023 6
25 81756 74
28 74303 3
28 82838 62
29 78 64
29 15248 60
30 83273 27
30 98429 57
35 77740 64
36 7787 40
36 8914 66
36 21300 9
36 47324 24
36 74668 29
36 86925 23
37 70852 13
37 90291 38
38 15510 11
38 16362 74
38 63964 84
39 20347 68
41 79076 56
42 77033 97
43 30720 10
43 54727 96
43 61555 96
45 24906 11
47 5483 45
50 13735 61
50 17059 74
51 7793 84
51 30638 100
52 29863 88
52 55882 27
52 71449 4
53 72814 91
53 93621 39
54 6405 71
54 68253 66
55 4675 22
56 60811 72
57 43097 61
58 66440 36
58 73625 78
58 76751 100
58 83321 3
58 89355 55
59 59599 94
59 79281 24
60 46547 81
61 1322 42
61 38045 94
62 11365 21
62 90065 66
62 98331 21
63 88145 58
63 97505 30
64 17156 26
64 25559 21
64 80665 32
65 14330 64
65 24291 97
66 96148 83
67 32229 52
67 35749 6
67 79182 98
69 2493 81
69 21997 76
69 24140 34
69 63262 100
69 93033 72
70 24102 54
70 47922 40
70 83498 21
71 72575 44
71 92866 66
72 34234 83
72 49943 9
73 72102 98
73 83464 4
74 571 53
75 11573 18
75 17681 96
75 44801 80
75 95192 59
77 58795 57
77 81942 44
79 62726 4
80 31352 72
80 91608 67
81 63606 2
81 85358 13
84 80623 81
86 4591 79
86 7351 28
86 84483 100
87 39278 68
88 17391 84
88 93088 61
89 40464 56
89 44435 49
89 79671 14
89 90280 78
90 20848 26
90 27432 8
91 11747 45
91 18131 3
91 20872 1
92 20785 17
92 50263 47
93 47623 19
94 6713 20
94 40513 40
95 57674 67
97 676 19
98 3007 72
98 13318 8
98 14871 79
98 23227 2
98 43949 91
99 83389 4
99 96737 1
100 3968 53
101 8675 90
101 95494 54
103 37749 26
104 46612 19
105 1416 9
105 19413 67
105 26584 18
105 47771 51
105 95076 75
106 59793 81
107 17973 75
107 36598 73
107 72871 11
108 1729 58
108 92040 90
109 1095 81
109 18729 41
109 80710 16
110 1626 53
110 11786 39
111 2276 88
111 13968 80
112 354 6
112 8336 24
112 12349 37
112 47534 100
112 82896 44
113 61042 11
113 80790 24
114 37738 10
114 77103 94
115 60877 15
116 24070 7
116 83375 46
116 84060 6
117 30658 60
118 95332 75
119 9197 99
120 39327 87
121 42452 91
121 42828 67
122 34599 66
122 92114 1
123 30654 34
123 38167 26
125 7540 42
125 14868 62
125 16414 65
125 62455 60
127 5687 42
127 65058 51
127 88419 89
128 82843 42
128 83569 16
129 72168 40
129 94975 31
131 51865 73
131 52539 22
132 86249 10
133 23302 41
135 41206 90
136 201 38
137 10530 9
137 24161 67
137 51061 66
137 99343 57
139 38800 92
139 92065 80
140 9651 69
140 42423 80
141 59909 50
142 28480 74
143 11182 55
143 31432 83
143 79877 31
144 49342 45
144 62404 2
144 82687 51
145 81463 10
146 6206 45
146 21685 55
146 66278 62
146 75196 55
148 28098 93
148 29714 68
148 32534 8
148 57917 17
150 91157 15
153 14762 56
153 66974 44
153 73549 10
153 94911 59
154 86304 98
155 4870 60
157 9304 60
157 36596 79
158 41159 58
160 55328 44
160 72182 98
161 95987 99
162 13466 75
162 30035 73
162 33104 43
163 12428 26
165 82892 21
166 15678 97
166 83081 28
167 26101 18
168 66678 75
168 74781 64
169 39016 10
170 42379 15
170 53499 82
170 67530 90
172 11080 20
172 62018 12
173 95593 87
174 3367 8
176 32863 21
176 45567 35
177 8144 97
177 37027 62
177 75495 4
178 32806 70
178 39623 34
178 94600 79
179 82157 8
180 9895 2
181 27978 69
182 92733 26
183 10319 72
183 89021 49
184 14650 63
184 19564 28
184 77703 11
184 84411 33
185 75071 26
186 6836 76
186 48927 11
187 21599 49
188 53823 68
190 8157 31
190 54694 100
191 5910 30
192 20188 90
192 95269 96
193 93939 49
194 27347 74
195 43738 79
195 67827 67
196 79244 73
197 27283 14
197 94277 71
197 99716 43
199 6983 79
200 23678 32
203 84632 57
204 5847 17
204 11807 32
205 50628 19
206 28751 85
206 52884 99
206 75431 38
206 85000 56
206 86499 8
208 45603 57
209 7439 84
209 16857 76
209 51443 91
210 32402 63
210 33395 89
210 50768 7
210 84358 43
211 80521 74
213 9114 6
213 14659 91
213 16155 91
213 19410 41
214 47919 64
214 83188 64
214 94827 51
215 42970 3
215 77369 25
216 42181 35
217 5766 88
219 10955 79
219 60409 13
220 76305 40
221 79332 42
222 7689 22
222 38901 45
223 7109 22
223 98945 90
224 7504 18
224 33458 86
225 56292 60
226 10140 41
228 13796 45
228 36805 56
228 55538 64
228 57425 11
230 53541 55
231 25858 57
231 59310 91
231 80489 67
233 9522 78
233 18762 26
233 55380 54
233 73802 64
234 41177 37
234 48874 72
235 56646 45
235 68578 43
235 84142 23
235 87112 40
236 38584 70
236 76532 89
237 59722 23
237 77264 34
237 98729 46
237 98819 49
238 81192 75
239 878 41
240 51841 32
240 56187 53
240 95105 82
242 4061 67
244 881 49
244 7935 87
244 55806 93
244 91853 42
245 766 21
245 59514 77
246 14818 59
246 52824 77
247 28098 55
247 29533 62
247 54137 2
247 57924 17
247 83732 68
248 7302 86
248 30737 15
248 97474 43
249 3324 23
249 23317 19
249 84424 73
250 37320 15
250 59751 49
252 18744 90
252 96598 51
253 19583 61
254 95941 4
255 36816 30
255 47001 100
256 12353 83
256 47816 22
256 70484 74
258 21348 49
258 24616 82
259 1990 51
260 43686 88
262 65243 43
263 93553 25
264 61028 42
265 54615 9
265 55430 42
265 77242 16
266 37738 90
267 9874 16
267 71179 21
268 5943 88
268 7376 19
268 62202 46
268 62283 22
268 73503 65
269 85955 19
271 46644 24
271 72614 90
272 15440 21
272 48554 38
274 20364 84
275 65911 51
276 32038 49
277 79934 30
277 83273 8
277 83625 100
278 98250 38
279 81793 50
281 35681 100
282 42418 63
283 60815 11
283 72107 14
284 3331 84
284 51952 68
284 81950 81
285 40614 13
285 59746 47
285 87523 89
286 31505 59
288 15067 69
289 59404 5
290 22608 2
290 26685 51
292 59245 69
293 98224 96
294 47179 91
294 50004 35
294 95412 27
295 6397 45
296 52061 70
296 57854 94
296 71599 92
298 14502 22
298 61497 47
298 71933 61
299 37272 96
300 27808 53
300 40142 38
300 64566 97
301 6654 15
301 14766 23
301 75814 68
301 80991 28
302 14039 6
302 24490 21
304 6059 67
304 90523 39
306 80680 50
307 69992 57
308 51776 27
308 73126 27
308 88451 12
309 8279 3
309 38487 63
309 52567 45
309 79553 26
310 14033 41
310 39190 12
313 37361 68
314 28010 21
315 7889 15
315 29209 57
315 46462 74
315 98188 27
316 51438 76
316 56672 81
316 90336 26
317 24190 84
317 99010 42
318 19540 52
319 6652 64
319 96655 74
320 18892 14
320 29672 11
320 97011 27
321 19022 65
321 43268 4
321 47988 77
321 65110 6
323 12770 78
323 23793 27
