99955 197910
1 3543 100
1 40240 100
1 67731 85
2 44022 51
2 93121 78
3 3194 100
3 72154 26
5 40986 6
5 82966 46
6 15457 13
6 38214 14
7 56675 99
7 93812 92
8 43220 93
8 67778 41
8 71611 90
9 63766 72
9 88652 23
10 52340 4
10 85275 70
11 104 86
11 13073 40
12 23824 94
12 52268 84
12 70466 34
13 38323 31
13 63050 8
13 78885 80
13 81618 64
13 95503 31
15 68730 5
16 64349 90
16 82910 42
18 69562 35
19 12448 29
20 29745 25
20 95014 10
21 18144 69
22 47992 31
23 62161 36
24 51520 61
24 59755 74
25 20387 70
25 87536 46
26 15537 7
27 80064 49
29 17313 85
30 2223 46
31 16074 3
31 39264 23
31 98443 93
32 15215 79
32 22548 33
33 6370 75
33 30338 34
33 75497 45
34 68579 17
34 90084 18
35 88501 58
36 84826 63
37 42009 50
37 48472 74
37 62789 7
38 59534 13
38 75143 34
39 56414 16
40 22903 13
40 59469 17
40 85233 30
41 16718 83
41 83376 73
44 27811 2
44 40689 70
44 42422 54
44 78621 10
45 69780 88
46 89063 58
46 92616 50
46 98316 58
48 46726 35
49 8930 93
49 11299 30
49 17986 92
49 98144 88
50 26318 50
51 96188 53
52 16445 35
52 41247 72
52 52666 39
52 62597 29
52 63110 18
52 71500 41
52 87880 93
54 63557 11
54 81883 3
54 89648 32
55 94695 8
56 6907 10
56 9307 54
56 93262 22
57 21874 47
57 86073 25
58 89886 68
58 94684 41
59 53343 62
59 86851 95
60 15673 95
60 43972 16
61 19349 61
61 34382 39
61 91102 8
61 91948 59
64 2756 75
64 14619 4
64 80341 43
65 12063 31
69 52821 45
69 52883 22
69 70867 46
70 42323 60
70 63585 65
71 74480 61
71 76758 90
71 87989 13
72 50797 47
72 81109 51
76 71673 24
77 89058 57
77 98881 38
78 29847 3
78 52103 62
79 58877 69
80 25457 41
80 34582 6
80 85336 72
81 16496 100
81 49345 3
81 80981 48
82 56395 84
82 68510 19
83 85244 2
84 2543 37
84 24407 54
85 4955 81
85 65268 82
86 31860 77
86 44471 62
86 64183 11
86 69030 36
86 72658 25
86 78676 4
87 99437 79
88 2326 45
88 3148 69
88 64797 1
88 97329 49
89 40604 79
90 17339 37
91 96733 72
92 41970 45
92 90856 56
94 58778 23
94 72465 49
94 75393 63
94 85680 83
94 99215 22
95 47708 50
95 61699 25
96 7555 95
96 32886 97
96 51862 89
97 5656 89
97 17847 69
97 67875 84
98 72671 85
98 78729 61
98 97541 28
99 38717 3
99 76717 12
99 89328 99
99 95229 76
100 8916 64
100 22234 49
100 31560 58
100 81002 37
100 92591 23
101 53078 63
101 65324 75
102 34809 99
102 92128 63
103 43248 78
103 84598 9
104 12970 99
105 1672 66
105 64480 80
106 14170 86
106 14998 14
106 82164 86
107 9910 55
109 842 39
109 904 33
110 40990 71
110 70676 21
111 42129 19
111 63172 87
111 63246 98
112 25535 76
112 71459 93
113 53679 68
113 58247 9
113 75332 84
113 96129 55
115 15782 46
116 879 84
116 37814 81
116 60196 89
116 87092 35
117 60093 89
118 46620 78
121 9604 71
122 37814 87
123 6012 9
123 43919 7
123 67927 62
124 5589 73
124 6974 3
125 1124 93
125 1573 81
125 56860 22
125 93134 68
125 94433 14
126 50541 12
127 5348 57
128 224 94
128 34175 64
129 29696 21
130 23249 36
130 89672 6
130 96092 94
131 117 52
131 8092 14
131 51594 44
131 64979 17
132 27255 27
132 38189 85
133 20430 89
133 82335 23
134 6425 31
134 55404 83
134 85374 48
135 26083 33
135 96904 99
136 19785 7
136 98774 78
137 11211 34
137 35470 48
137 55955 89
137 57812 64
138 5956 25
138 51736 91
138 56727 30
139 68341 79
139 82856 72
140 18014 43
140 83371 62
141 15171 87
141 51880 24
141 74988 39
141 83080 13
142 6585 80
142 60405 36
143 20579 21
143 42293 32
143 92079 60
144 21745 49
144 90982 58
145 42807 73
145 99018 8
146 37903 85
146 63374 66
146 84436 80
146 85513 93
147 6246 19
147 10287 83
147 12180 10
148 69397 58
149 916 39
149 99910 92
150 65018 54
151 6601 77
151 22637 44
152 32206 56
152 67015 54
153 36060 72
153 46806 33
153 76592 44
153 89940 68
154 34867 7
154 41909 18
154 51597 29
154 59129 97
155 91756 30
156 30473 18
156 57893 38
156 78812 82
158 38174 25
159 31868 72
159 66740 78
160 33975 30
160 46627 45
160 58400 27
160 70077 77
160 75651 5
161 53600 12
162 88556 96
163 12822 8
163 82041 34
163 91926 91
164 24734 80
164 25815 6
164 37319 39
165 19370 19
165 19370 23
165 19370 74
165 60513 42
165 64935 93
165 68162 2
167 2581 17
167 5904 31
167 8415 84
168 9520 55
168 17619 68
169 22552 72
169 98499 87
170 14524 18
170 52598 30
171 16687 40
171 73597 74
171 99776 52
172 76378 45
172 77989 58
174 15596 14
174 17014 74
175 3323 68
175 6905 16
175 77236 85
176 36875 77
176 58865 37
176 71042 18
177 9386 59
177 35724 43
177 58553 63
177 67675 80
178 79392 12
178 79562 39
179 48614 34
180 55069 48
180 79893 84
181 78100 19
182 5994 9
182 11016 72
184 39825 29
185 41684 82
186 25080 97
187 19175 39
187 81396 27
187 92440 14
188 3628 43
188 12232 90
188 17153 30
188 59855 79
188 74839 71
189 5600 60
190 39707 58
190 67299 24
190 73672 8
190 84949 36
191 582 10
191 11749 68
192 2485 78
194 66824 80
194 69856 95
194 76795 11
194 97785 13
195 32059 86
195 54100 67
196 8704 61
196 45994 11
196 49400 1
197 20846 83
197 43999 85
197 57150 40
197 71176 44
198 22300 33
198 94267 47
199 13725 70
199 95847 2
200 23337 60
200 60039 53
200 64938 65
201 38490 32
201 80765 67
202 77852 58
202 96354 76
203 14461 61
203 85937 34
203 95700 52
204 61269 39
205 18373 100
205 37419 53
205 45295 29
205 80434 99
206 43927 61
207 46365 100
207 70154 66
208 24421 63
208 65746 21
208 88579 87
209 55631 19
209 64488 2
210 67127 75
210 79392 57
210 97684 86
211 90975 32
212 28369 93
213 9997 12
213 30754 23
213 33201 93
213 41653 85
213 43188 83
214 2596 58
215 7773 66
216 55071 35
217 14550 50
218 1790 13
218 32059 19
219 44065 41
219 58685 94
220 86153 3
221 55938 89
222 70188 92
222 76573 5
223 45532 82
224 69269 12
225 10369 60
226 97808 77
227 79578 68
228 36716 40
228 53473 13
228 68737 13
228 72990 66
229 16897 93
229 67401 60
230 19741 22
230 25318 30
230 80033 28
231 2940 22
231 41524 30
232 9582 76
232 16599 76
232 36530 21
232 70362 25
232 85927 25
232 88474 43
233 29964 35
233 63102 23
234 40921 56
234 91451 24
235 22558 27
235 49185 10
235 93588 95
236 4185 8
236 18288 20
236 20836 95
236 23763 23
236 49191 8
236 68895 67
237 70426 47
239 4622 64
239 30861 14
239 82642 33
240 72482 78
241 32797 100
241 51674 5
242 13932 89
242 35953 66
242 82938 80
243 153 30
243 14860 26
243 43346 88
244 38995 38
244 54578 93
244 61804 18
244 70352 90
245 3594 56
245 7780 78
245 11028 26
245 27536 1
245 34102 85
245 96043 50
246 55891 97
246 59710 97
246 84530 23
247 18953 57
247 20406 100
248 42537 33
248 74524 23
