99923 152883
1 76594 2
2 70120 5
4 98617 7
5 3513 8
5 87695 10
5 99048 10
7 88791 5
8 90264 7
9 21755 6
9 57749 6
9 63179 1
10 7820 1
10 63185 8
10 85631 4
11 64938 7
12 57733 10
13 25305 3
13 99138 1
14 27295 3
14 80939 9
15 39232 8
18 42179 4
18 54415 9
19 60973 1
19 72438 3
20 84397 1
21 27733 2
23 34475 4
24 21680 6
24 73506 5
25 1164 9
26 43596 10
26 58472 1
27 33982 5
28 2787 7
28 85096 2
29 99480 6
30 30277 1
30 31556 1
31 22003 2
31 22106 9
31 49000 1
31 77197 4
32 6867 6
34 58967 7
34 89467 10
35 68108 8
35 77728 9
37 59854 1
37 85391 2
38 19685 7
39 10250 10
40 49293 5
41 12284 7
43 89615 10
45 50618 7
45 78585 7
46 2137 4
47 67655 3
47 96271 5
49 70054 10
50 9852 3
50 60151 4
50 64809 2
50 68975 7
50 99723 10
51 32799 4
51 82084 2
52 12220 2
52 30257 4
52 54216 5
52 68789 10
53 76582 4
54 2938 8
54 5444 8
55 44428 2
57 1824 10
57 24105 7
57 35844 10
57 36857 2
57 46940 8
58 34217 9
58 45437 1
58 95331 4
59 18548 5
60 60941 3
60 99178 3
61 77633 4
63 66274 6
64 40736 7
64 42976 8
66 49691 7
67 47693 9
68 36900 3
69 73021 8
70 22927 5
70 92300 2
71 45672 1
71 84531 8
71 86364 3
71 94855 4
72 37185 5
77 74503 5
78 15694 10
78 85391 2
78 95570 4
80 4284 1
80 10479 3
81 60497 2
82 1407 3
82 56831 4
83 37749 1
84 27691 1
84 44683 5
86 23817 4
86 88224 7
87 4104 9
87 16088 8
87 31531 2
88 33966 4
89 48070 4
90 29533 9
90 43020 2
91 4205 2
91 5105 3
92 73454 9
93 34797 8
95 56782 4
95 68331 10
97 43413 6
97 88702 9
97 90331 5
98 61799 10
98 82529 5
98 86756 6
99 23785 3
99 68340 10
99 76563 7
100 77045 6
101 65380 1
101 80419 9
102 8519 1
102 26749 3
103 1161 1
103 26681 7
104 29475 8
104 31422 9
104 51921 5
105 76748 6
105 96650 1
106 28411 8
107 18013 9
107 29005 1
109 81273 1
109 87017 3
110 47278 4
110 69989 10
110 97091 2
111 5571 9
112 67180 1
112 94402 7
113 2821 9
113 8927 5
113 10665 8
114 55231 3
116 31357 1
116 57563 3
117 94151 2
118 55095 9
119 26652 10
121 6350 4
121 54715 9
122 26223 10
123 2405 6
123 90798 1
124 18804 7
125 5203 6
125 17214 9
125 27654 1
128 62067 1
129 7199 1
129 97216 1
131 12281 1
132 50483 4
132 62199 1
132 62393 5
132 76010 7
133 16297 10
134 7678 7
134 9404 7
134 15650 10
134 61732 5
136 34356 6
137 37289 7
138 46251 3
138 63912 10
138 74124 9
139 14498 7
139 77858 2
140 20680 7
141 34617 6
141 65963 7
141 81657 7
142 43131 5
143 81839 5
144 12614 7
145 72646 1
147 1057 10
147 50740 7
147 89159 2
149 84551 10
151 35608 10
152 10199 2
152 47681 2
152 52542 3
152 86120 4
153 16076 7
153 30542 1
153 79860 4
154 4008 5
154 6890 7
154 43107 5
155 35962 9
155 49369 4
155 52796 3
155 55437 3
156 3086 4
156 69716 3
157 45213 9
157 47779 7
157 87967 1
158 58365 4
158 58470 3
159 17499 7
159 29316 9
159 38680 9
159 85310 5
160 4319 1
160 25373 8
160 77697 2
160 82620 2
161 60723 9
161 97780 1
162 5805 5
162 6467 1
162 11405 3
163 23117 9
164 7151 9
164 75973 5
166 33542 4
166 36550 3
168 69041 1
168 72791 10
169 95703 1
171 29831 5
171 50207 5
171 70575 4
174 69547 8
175 82187 7
176 4025 4
176 30378 6
178 43261 8
178 69491 8
178 91730 8
179 68527 4
179 87651 8
180 47464 7
180 96785 9
183 26242 8
183 62426 6
183 70861 2
185 9921 2
185 38491 5
185 77046 2
185 90302 6
187 85543 7
188 41599 6
188 85464 6
189 36389 7
189 90786 10
190 80331 1
190 81782 9
191 3330 2
191 71917 3
194 31767 1
195 53201 8
196 69026 7
197 28354 6
198 53829 7
198 82154 3
198 98397 10
199 14827 2
199 53545 2
200 3672 9
200 59870 10
201 26957 6
201 75975 6
201 86045 8
203 83573 6
204 37134 3
204 48203 3
205 52457 7
205 65765 4
205 87941 7
207 81765 10
208 39413 2
208 53049 5
209 69834 7
211 22352 9
211 97316 1
212 66502 8
212 79765 10
214 35833 1
216 18825 9
216 36628 4
216 87827 4
218 28737 7
218 63709 10
220 10088 9
220 43895 3
220 72055 4
221 9067 10
221 68547 5
222 5199 6
222 94077 10
222 99377 6
225 64045 3
226 12064 5
226 18778 3
227 41254 8
228 20420 10
228 59945 7
228 74632 6
230 47629 5
231 16698 6
232 25979 7
233 72153 6
234 8632 10
234 12165 3
235 50439 5
235 87666 3
236 3273 10
237 5324 6
237 30596 3
237 46503 10
238 3338 9
239 47351 6
240 4568 6
240 9967 10
240 18258 7
240 27839 1
240 69492 3
