99932 196866
1 11596 1
1 30244 6
1 48892 4
1 75458 8
1 89268 7
2 29855 10
2 81816 6
4 10590 10
4 88713 9
5 96837 6
6 51078 5
6 52590 6
6 55110 9
6 61342 2
6 86496 6
7 7540 2
7 67478 10
8 39121 1
9 48310 10
9 91715 5
10 98648 7
11 63320 6
12 44125 8
12 80116 5
12 95856 4
13 56440 5
14 6527 6
14 45234 3
16 185 5
16 13583 6
16 79518 8
18 63313 5
18 93427 3
19 51128 3
19 52994 3
19 61248 9
20 9275 2
20 87995 10
20 91409 8
21 24254 2
22 4251 7
23 42929 4
24 40200 7
24 81155 5
25 16932 6
25 80481 2
26 87781 8
27 50007 7
29 39151 5
29 78820 7
29 86736 4
31 89049 3
31 92309 3
32 50946 3
32 87707 7
33 59197 8
33 61027 7
33 77454 4
34 36562 10
34 94987 2
35 28570 1
36 1608 9
36 87464 6
37 2521 3
37 17747 2
37 31039 10
38 80420 1
38 97549 5
39 97131 1
40 81467 1
43 37992 7
44 18695 7
44 50287 6
44 85444 3
45 41123 3
45 74469 1
45 84909 7
45 94425 1
46 14488 10
46 29426 3
46 65552 7
47 14853 5
47 65816 5
47 78177 1
47 85443 7
48 20588 1
48 58960 8
48 97448 4
49 69878 7
49 92647 10
50 8568 5
50 24295 7
50 56228 8
50 87264 10
50 92560 10
52 1768 1
52 7841 2
52 15415 2
52 25360 6
52 70626 2
53 2895 4
53 63596 2
54 97966 9
55 98782 10
56 84608 6
59 22228 1
59 26166 2
59 33110 4
60 12905 1
61 22573 3
61 28103 6
61 89892 10
62 19160 7
63 21301 10
64 70373 10
64 81632 4
66 6417 3
68 27964 10
68 44552 7
69 7258 1
69 17334 9
71 92060 1
72 50025 9
73 11384 8
73 23615 2
73 48008 8
74 12068 9
74 84777 5
75 18303 2
75 64632 6
75 90451 7
75 92314 7
78 73742 9
79 13997 7
80 23368 8
80 56218 4
80 61514 7
80 84370 2
81 42202 10
82 16409 10
83 27253 4
83 37717 5
83 94014 1
84 53771 1
84 87748 7
84 89688 10
85 19185 4
85 36622 1
85 46204 9
85 56508 2
86 28676 3
86 65838 9
86 79371 4
86 79379 1
87 30637 7
87 92387 7
89 55022 1
89 72621 7
90 58004 2
91 50674 2
91 68269 2
92 4350 8
92 32896 10
93 16440 2
93 61417 6
93 64307 10
93 81273 7
97 4946 4
97 17565 1
97 18782 6
97 32341 3
97 98296 4
99 18544 3
99 77564 3
100 60986 4
100 97574 1
101 72980 5
103 31717 9
104 47998 3
104 74572 5
105 32360 2
106 97662 5
107 4830 4
108 39319 5
109 47808 5
109 64210 2
111 20435 2
113 76513 5
114 17292 8
114 86374 5
115 3926 8
115 18629 1
115 43172 4
115 44794 8
115 74268 2
116 4924 9
116 22646 7
116 70736 10
116 70947 2
116 85911 7
117 12956 6
117 23114 7
117 78241 2
117 89102 10
118 86197 1
119 64847 8
120 35664 10
121 13597 5
121 24849 6
121 36346 2
121 99363 10
122 74601 10
123 85176 6
124 7303 5
124 8107 4
124 33362 2
125 19960 8
126 63089 7
127 12842 7
127 74287 7
128 24991 1
128 55485 4
128 78101 7
129 35536 6
129 54186 3
129 67299 10
130 14179 4
130 15031 1
130 28136 9
130 38627 6
130 46501 9
130 98324 6
131 41739 4
132 16369 3
132 45592 5
132 52181 4
133 4350 10
134 94360 6
135 65071 9
136 83576 5
137 82836 7
137 93443 10
139 63062 6
140 57142 4
141 39925 6
141 65273 10
142 7021 6
142 28038 3
142 38952 8
143 43735 4
143 77138 9
144 50923 1
144 52092 7
144 54106 7
145 34738 6
146 83239 2
147 17430 8
147 53402 2
148 19190 4
148 22749 8
148 32263 9
149 524 5
149 28987 4
149 32201 2
150 77263 7
150 77859 10
150 90059 5
152 15658 6
152 93296 6
153 11069 5
153 15538 2
153 35372 4
153 81244 6
153 83714 8
154 34026 8
155 65031 1
156 11706 9
156 36539 5
156 43295 5
156 76295 6
157 28725 8
157 34689 5
157 43639 8
157 52520 6
158 52836 3
159 1797 6
160 43242 9
161 49354 10
161 66777 7
161 81222 3
162 35086 10
163 35622 5
164 3842 7
164 64887 5
166 12926 6
166 14671 3
166 58581 4
167 96693 2
168 18890 8
170 20687 1
170 21460 7
170 51319 1
171 46716 7
172 23758 2
172 48186 8
172 82711 4
173 26709 5
173 47260 6
174 12029 10
174 92357 1
175 2642 4
175 8267 9
175 20508 8
175 38428 3
175 55162 4
175 60917 10
177 87235 8
178 12172 3
178 52476 2
179 13247 6
179 55765 7
179 66870 1
181 36590 10
181 42234 3
181 78467 5
182 64735 7
182 78534 7
183 8496 10
183 56260 9
184 38667 6
185 20127 3
185 42519 5
185 58961 6
185 77283 9
186 32590 8
186 75688 6
186 98334 4
187 50585 4
187 88081 1
187 95792 3
188 29063 5
188 64253 6
188 72529 1
189 2859 4
189 74361 9
190 21206 6
190 21625 3
190 56142 8
191 20062 8
191 74996 4
191 99337 4
192 20099 6
192 48605 6
193 34863 5
193 63205 10
194 2936 2
194 38170 2
195 6825 6
195 30333 2
196 5408 10
197 12908 3
197 59369 6
198 68957 6
199 3378 9
199 39667 4
199 60801 5
200 41464 6
201 6242 7
201 17421 9
201 60227 8
202 6772 1
202 33732 5
202 60498 4
203 64085 3
204 28058 8
204 66541 4
206 34351 8
206 60378 2
206 66472 1
206 93082 8
207 66306 6
208 12812 4
208 33079 3
209 9221 3
209 59461 9
209 61839 3
209 95788 5
209 99587 2
210 88927 10
211 19533 8
211 26653 3
211 49783 3
211 50486 3
211 67966 8
212 7041 3
212 14519 6
212 19456 4
212 54537 8
212 77757 4
213 26773 2
214 17954 5
214 48882 6
215 1680 8
215 38991 10
215 52025 8
217 62542 7
218 78365 3
219 87116 5
220 6987 9
220 41404 6
221 49660 4
221 67590 6
222 21701 1
223 1849 7
223 24972 8
224 21265 1
224 32400 1
224 49889 4
225 74728 2
225 80047 2
225 80973 1
227 8967 4
227 9383 4
227 74431 3
228 41075 3
229 46634 8
229 67222 10
229 74299 7
230 9399 7
230 43606 5
230 96670 10
231 51267 2
231 91511 10
232 85874 8
233 43080 3
233 44554 7
234 6671 4
234 9278 8
234 57035 4
235 2808 4
235 3841 3
236 86505 7
237 11850 9
238 82431 3
238 82699 5
238 97519 7
239 40700 4
240 12041 7
240 63742 10
240 82368 7
241 2385 9
241 21796 3
241 72706 1
242 21887 4
242 45397 7
243 7863 3
244 42615 2
245 93692 9
247 10140 1
247 10345 8
247 18253 3
247 82829 1
247 97956 1
248 16742 5
248 26911 8
248 43381 4
248 85322 1
249 10712 3
249 21535 1
249 95567 6
251 36474 7
252 34890 5
253 18551 5
256 44321 5
256 49429 9
256 66846 9
256 81800 3
257 35269 2
257 72328 8
258 52651 5
258 61845 1
259 10024 6
259 44819 7
260 92248 1
261 17392 9
261 84725 5
262 22007 5
262 47167 2
263 315 3
264 79981 6
265 21913 10
265 54216 6
265 91348 6
266 18294 2
266 39749 10
266 60754 5
266 81385 5
266 82225 2
267 77979 9
268 34568 7
268 51155 8
269 38356 5
269 56816 3
