99939 176892
1 23260 4
1 44178 10
2 19689 2
2 32679 1
3 23034 4
4 56399 7
4 78075 7
4 82412 5
5 33432 1
6 58547 4
6 86368 8
7 56972 8
8 2951 7
9 22801 4
9 90743 9
10 60408 2
11 39920 8
11 44952 8
12 7194 5
12 7358 10
12 53978 9
12 67303 10
13 21791 8
13 38893 4
14 93201 7
16 40315 4
16 74613 4
16 90472 1
17 28482 3
18 13032 5
18 31477 3
18 48181 8
18 96091 4
19 31672 6
19 35466 9
19 44618 9
20 90442 2
21 9888 7
21 39990 5
21 65700 5
22 1053 2
22 89432 2
23 13105 4
23 40327 10
24 4059 5
25 70393 2
25 90181 1
26 15601 4
26 27828 9
27 22391 7
27 74309 5
27 81231 9
28 23434 8
28 43344 2
29 70232 5
29 84800 4
30 30940 8
30 75482 8
31 66807 5
31 67551 2
31 85064 4
32 173 9
33 3812 10
33 34901 9
34 58626 4
36 7402 10
36 9739 8
36 29288 8
36 99105 8
38 14761 4
38 33150 4
39 66354 9
39 72939 6
40 570 7
40 44407 10
40 72504 2
41 45315 8
41 83587 2
42 1214 8
42 53907 8
44 9856 8
44 42802 2
45 15855 7
45 38022 5
45 94825 6
46 85950 1
47 32976 9
47 35491 5
48 30262 10
48 97922 5
49 61770 6
49 70279 3
50 39385 3
50 86459 7
51 10697 3
51 49968 8
52 27249 8
52 68930 2
53 41816 5
54 14497 5
54 78916 6
56 41734 8
56 44741 5
57 54780 3
58 25663 4
58 39338 4
58 77627 4
59 15611 3
60 40721 5
60 61201 3
60 72327 1
61 44563 4
61 73652 5
62 10641 9
62 43767 1
63 20595 2
63 83601 9
64 4853 1
64 6156 6
65 71219 10
65 82756 5
66 90184 3
67 39485 4
67 43913 7
68 8017 2
68 28815 6
68 67730 4
69 60436 9
71 71252 8
71 89956 1
72 62871 6
73 36035 5
74 26287 10
75 26407 2
76 80375 7
77 12924 6
77 34129 8
77 45538 2
77 56492 8
79 65460 4
79 89674 5
80 5356 10
80 66285 8
80 82430 1
81 28125 8
81 34056 8
81 53459 2
82 39445 6
82 56267 8
82 71370 9
83 21219 7
83 43902 4
84 2562 3
84 13146 10
84 40024 10
84 81198 6
85 6102 6
85 17309 5
