99991 152986
1 44480 10
2 78649 6
3 50905 4
4 34875 5
4 73960 1
5 44425 8
6 58915 9
7 49103 8
7 76323 3
8 9025 3
8 96111 7
10 88794 1
11 29119 6
11 46937 7
11 67582 2
11 68421 6
12 58302 2
13 53448 9
16 10030 7
16 50830 6
16 63275 6
18 20049 2
20 91751 3
22 50022 9
22 75430 4
23 31206 7
25 23233 6
25 51825 9
25 55171 9
26 30123 3
28 8134 1
28 50301 10
28 95175 8
29 17687 5
29 36500 6
29 41207 10
30 70798 4
30 73060 5
31 33985 10
31 74475 8
32 85242 9
33 12776 6
33 12810 1
34 14740 4
35 51239 3
37 54694 2
38 23999 9
38 78730 6
39 80272 2
40 35328 7
40 70654 1
41 40918 8
42 68797 10
43 56455 4
43 87172 8
44 63183 3
46 11487 2
46 31991 5
46 37400 4
48 49865 2
48 73530 8
49 35417 4
49 75774 2
50 6611 5
51 32478 10
51 49891 9
51 57009 7
54 21747 5
55 28866 3
55 60589 6
56 22671 5
56 29541 1
57 74718 1
58 35923 5
59 583 5
60 81913 3
62 8369 8
63 81911 5
66 94641 10
66 94876 10
68 66461 4
69 58551 3
70 81103 9
71 15777 3
71 71094 6
72 41328 6
73 36096 6
73 64941 9
76 49586 10
76 93384 9
78 79756 1
79 75167 7
79 80880 4
80 91781 4
82 88337 4
83 19813 4
83 46255 2
84 20002 10
84 40529 8
84 96927 7
85 64109 5
85 76902 2
85 82194 7
86 70605 7
87 26385 8
87 46395 3
87 47428 2
87 80851 6
88 14621 10
88 62672 1
89 29388 7
89 62837 3
89 65677 3
90 44546 7
90 46154 5
91 56594 10
91 65516 4
92 23939 2
92 35573 9
93 10840 3
94 25131 2
94 83333 1
94 92747 2
95 33673 6
95 56777 4
96 22920 7
97 37468 1
99 51368 7
100 8643 8
100 27131 10
101 31982 3
102 24107 2
104 76556 4
105 11041 10
105 62767 10
105 82689 1
105 88799 4
106 70503 1
106 86495 8
106 98292 3
107 14458 2
107 47012 6
107 92523 5
108 16751 6
109 18589 2
109 43583 2
110 30098 6
110 33030 5
110 54272 3
111 7574 6
111 27612 10
112 35247 5
113 20577 8
113 88652 3
114 58361 2
115 72666 3
115 97758 9
116 34355 2
118 47679 9
118 66218 6
118 84186 1
118 86265 2
118 95721 9
119 505 4
119 46839 3
119 60385 8
119 81454 7
120 38183 8
120 96867 9
121 34643 4
122 2528 1
122 74438 2
122 92223 10
123 62607 7
124 74741 9
125 39387 3
125 43640 8
125 85950 6
126 9766 8
126 74652 3
126 89630 1
126 89686 9
128 75182 9
128 93102 10
129 52379 1
130 81941 10
131 88449 2
132 9674 9
133 31992 1
133 95872 1
134 3645 6
134 93135 3
135 60347 4
136 3822 4
136 61409 7
136 63342 8
137 41475 3
137 59253 3
138 25602 5
138 67689 3
