99953 151929
1 13269 10
1 33337 5
1 85521 8
2 12286 9
3 67405 9
5 6876 10
5 39402 8
5 80512 9
6 39971 6
6 51253 5
6 71754 8
7 16407 9
7 18262 10
7 33419 9
8 65380 10
9 92090 10
10 87164 9
11 66988 10
11 85501 1
13 2231 7
13 21295 5
13 27481 7
13 52882 5
14 3363 5
15 62876 3
15 84324 3
16 57851 6
16 76961 5
16 79290 1
17 9576 3
19 20516 8
20 40385 10
20 45968 10
20 81700 7
20 85953 10
21 7912 10
21 22728 9
21 54767 9
21 59571 10
22 34528 6
22 41701 4
22 48437 7
22 62508 4
23 34616 3
23 37142 8
24 51238 3
25 35630 4
25 37628 6
25 58232 3
26 13114 4
26 25276 2
26 93517 9
27 1857 3
27 18762 9
27 22243 6
28 44960 5
28 73901 3
29 31567 1
29 70666 2
30 80548 3
31 20381 6
32 29261 9
33 58842 4
34 33311 5
34 54171 8
37 4445 5
37 45363 4
39 31205 6
39 64780 3
39 67271 5
39 73002 3
40 39069 6
40 98657 2
42 90354 6
43 48649 1
43 69462 9
43 96122 10
44 28696 4
44 96536 6
46 44913 4
47 10963 10
47 64833 8
49 13239 3
49 23733 2
49 33545 8
49 64474 8
50 3121 8
50 10152 10
50 82555 10
51 27186 1
52 67668 4
54 22601 5
54 34998 2
54 48994 9
54 57548 1
54 66547 9
55 68706 3
56 11815 6
57 3868 6
57 26597 5
57 78037 1
58 26533 8
58 77636 3
59 84154 2
60 44310 5
60 47975 5
61 49660 10
61 64990 4
61 71938 8
62 86115 7
63 44907 10
64 31320 9
64 56739 6
64 61451 4
65 6838 2
65 83338 3
65 96088 3
66 39911 2
66 57407 4
67 50630 2
67 58953 2
67 71706 7
68 65636 9
69 42124 3
69 59649 5
69 78760 9
69 99481 1
70 63133 9
70 75040 7
70 92100 8
71 21251 6
71 42313 7
71 57691 5
72 96091 8
74 28731 10
74 55370 1
75 56289 2
76 36554 1
76 56160 5
76 79644 1
76 86230 7
76 88295 6
76 98570 2
77 70737 3
77 86805 9
77 89654 3
78 40931 5
79 2704 1
81 20810 4
82 59808 9
82 76135 4
84 12112 6
84 66530 7
86 20953 2
88 84014 8
89 74328 4
91 83117 3
92 27206 1
92 34702 2
92 35357 1
92 91760 8
93 42099 7
93 62227 7
93 84147 5
94 29029 6
96 32684 6
97 56012 5
100 52212 9
100 96852 8
101 26577 1
101 79974 2
102 5171 4
102 62150 6
104 64834 3
105 71296 6
106 58369 6
106 92213 5
107 28147 3
110 68133 8
111 61606 1
112 23277 3
112 31072 2
115 16166 6
116 1999 9
117 68623 5
118 36697 5
119 61661 2
119 64111 9
120 21112 7
120 22919 4
120 24739 9
121 82659 7
123 90489 2
123 95197 5
124 14407 1
126 81995 8
127 17910 2
127 85290 7
127 87207 8
128 72170 1
129 30230 10
131 48990 9
131 49167 5
132 13686 5
132 54492 3
132 88436 2
133 25124 3
133 89447 10
133 93150 4
134 27601 10
134 70698 10
135 42789 6
135 61669 3
135 93729 7
136 68424 7
136 96288 8
137 11095 1
137 15752 8
140 20833 6
140 23312 8
140 63166 3
140 88875 7
142 24598 6
142 28163 5
142 68398 3
143 37303 6
143 91872 4
144 21357 7
148 24560 4
148 77847 1
149 84457 7
150 15665 3
150 33185 2
151 79470 1
152 34869 10
152 39226 4
152 67797 3
152 76645 2
153 68732 3
154 19449 8
154 28174 3
154 43013 2
154 73925 6
156 29842 6
157 85885 10
157 96679 2
158 3244 5
158 52110 1
158 70850 9
161 12112 2
161 64843 10
161 77052 4
162 7063 8
162 34917 5
163 99722 8
164 2193 1
164 12115 2
164 78642 1
165 72555 7
165 73893 5
165 82146 3
166 22266 3
167 72481 10
168 52861 4
170 7343 6
170 94484 9
171 6165 10
171 32154 10
172 69926 2
173 8249 2
174 9041 7
175 24343 4
175 31807 6
175 49676 4
176 44860 1
176 54448 5
177 25958 7
180 67205 5
181 79512 7
183 83834 6
184 7151 7
184 64600 8
185 15258 1
185 89013 4
187 7321 4
187 9999 8
187 43281 6
187 67962 7
188 2567 10
188 79236 2
189 63692 4
191 8940 2
191 88468 7
191 98318 3
193 69808 8
193 86951 2
194 68397 3
194 82423 7
196 3892 1
196 77427 4
197 23659 10
197 63490 9
197 84172 9
199 7911 7
199 49345 5
199 88906 10
200 66071 4
201 25698 1
201 57926 4
202 38053 2
204 3075 8
204 31245 10
204 41045 10
204 81980 8
205 45052 6
206 2086 5
206 31386 5
206 37663 1
206 41910 2
207 1887 4
207 56761 5
207 91823 5
208 88625 8
209 32696 1
209 44840 7
209 87995 5
210 5541 2
210 22981 9
210 42341 3
210 48304 4
210 52462 4
211 1517 4
211 6085 2
212 50914 2
212 69284 3
213 71244 6
214 52928 3
214 82034 8
214 90177 9
215 24500 7
216 89124 9
217 42211 6
218 6429 8
218 96701 10
218 99345 4
219 35312 3
219 53123 5
220 13751 8
220 14666 6
220 40423 6
221 61292 4
222 80246 10
224 4298 2
225 3969 1
225 58361 10
225 75645 8
226 33356 7
226 45624 3
228 86709 8
229 32300 1
229 42275 6
229 50656 3
231 50722 6
233 60592 9
234 24930 4
234 46035 8
235 33226 7
236 58423 9
236 83063 5
237 7757 5
237 12160 5
237 92067 6
238 76729 10
239 44619 4
239 68958 5
242 10067 5
242 25618 9
242 39129 9
242 87108 3
243 59517 4
243 69845 6
245 40138 8
245 58043 5
246 22370 7
247 979 10
247 33413 4
247 57270 6
247 72237 8
247 83967 8
249 59863 5
250 84421 8
251 25242 3
251 93258 7
252 50812 5
255 40422 3
255 50253 3
255 53761 3
255 62548 9
256 24347 1
258 1185 9
258 88119 3
261 71993 7
262 38356 4
262 62534 5
263 13810 10
265 98893 9
266 29972 9
267 18595 10
267 92473 9
267 98443 3
268 3484 3
268 65482 7
269 34755 10
269 51764 7
270 7657 3
270 61748 1
270 66355 2
271 35065 1
273 56183 8
273 91349 9
274 22503 7
275 18309 7
275 57821 3
276 25838 6
276 32701 2
276 73842 6
277 15614 8
277 43005 6
277 70834 6
278 14086 10
278 81210 4
279 2642 9
280 23677 8
280 68076 8
280 81241 5
281 3976 9
281 50671 8
283 10726 3
284 19831 9
285 18240 8
285 94242 8
286 29859 1
286 35082 4
286 70687 9
286 88309 10
287 70748 7
287 79849 10
289 15539 3
289 20629 9
291 91931 9
292 48326 4
294 15923 5
295 17574 8
295 78564 8
296 34498 10
297 91968 1
298 96562 5
299 52128 9
299 87616 6
300 39281 1
300 67573 10
300 75039 9
302 14717 1
303 8240 7
303 91007 8
307 20373 5
307 28606 6
307 71618 7
307 86245 9
307 87692 4
308 83069 5
308 95275 8
309 22140 6
311 6564 8
311 35238 7
314 53138 7
314 59706 6
315 6439 8
315 72187 2
315 95795 4
316 29767 6
317 3456 5
318 64253 1
318 71664 3
319 56877 4
321 84811 10
323 9913 3
323 53512 9
323 57309 1
323 60462 10
323 79175 9
323 88158 10
325 71107 1
326 8418 9
326 19067 7
326 19976 10
326 27409 5
326 30255 4
328 12112 7
330 69521 3
331 9829 9
331 80080 3
333 77526 1
333 78707 6
334 5570 10
334 30031 9
334 97142 5
335 4902 8
335 12860 6
335 55535 6
336 8762 3
336 22892 3
336 36779 2
337 42161 3
338 43235 8
338 46082 5
339 47175 5
339 50619 2
340 8228 5
340 79831 5
341 61169 2
343 55498 3
344 23539 4
346 93985 2
347 497 3
347 65492 2
347 84917 3
347 97194 7
348 61018 7
348 77583 9
349 43229 2
350 22239 5
350 23766 3
351 54630 4
351 80967 3
352 30865 5
352 47387 2
353 25593 7
353 38512 2
355 18193 9
355 81847 2
356 40680 4
356 81764 1
357 2993 5
357 54002 7
357 76459 8
357 87396 1
359 97377 1
360 64221 10
361 61724 6
362 26587 7
362 64443 1
363 83081 8
363 85670 10
364 63535 4
364 75667 1
365 28874 4
366 18995 6
366 25779 9
366 25779 10
366 52619 7
366 69348 10
367 23311 7
367 87255 9
369 94548 5
370 23794 9
370 90938 3
371 37618 6
371 47125 7
371 64039 4
371 96307 6
374 2548 10
374 19516 10
375 3770 7
375 15212 4
375 34096 8
375 73558 4
375 93695 4
376 17070 8
376 29420 3
376 44502 9
377 17842 6
377 44886 5
377 72472 9
378 19963 7
378 23422 8
378 57786 1
378 94868 10
379 33785 6
379 68124 9
380 89635 2
380 95365 2
381 48304 1
382 89766 8
383 21584 2
383 40901 5
383 99275 8
384 1669 5
384 15665 3
384 91420 6
385 14847 10
386 41475 8
386 77270 5
387 45423 9
387 62997 4
388 21218 10
388 26027 6
388 53817 10
388 81396 5
390 50465 5
391 14535 4
391 70674 6
392 7831 10
392 61531 9
395 91726 6
396 4620 9
397 19593 8
399 6358 6
399 28583 8
400 54288 3
401 29377 6
402 26203 9
402 28862 4
402 87734 6
403 93913 8
405 53711 8
405 68020 3
406 14955 7
406 47414 2
406 52895 7
407 1608 4
407 29942 3
408 18269 6
409 29372 8
410 12985 2
410 16414 2
410 89331 9
410 91732 9
411 16986 1
411 93863 4
412 25045 6
412 27397 4
413 93412 1
413 95163 7
414 25668 2
414 26029 6
414 92905 5
414 97500 2
415 94188 1
416 23210 3
417 11377 4
417 38923 8
417 81536 3
417 95912 10
418 55358 4
418 58820 3
419 46019 7
419 62048 8
420 1127 1
420 37815 10
420 52216 4
420 81610 5
421 31219 2
422 224 1
423 16270 4
423 48511 5
423 49593 2
423 57672 3
423 87422 4
425 52556 4
425 61489 8
425 71682 9
427 45978 8
428 75851 8
429 38999 7
429 45386 1
432 24062 5
432 33005 2
432 33337 2
432 38879 7
432 76288 6
435 12327 8
436 54895 4
437 34954 8
437 51133 7
437 99472 7
438 73568 2
440 67184 3
441 91997 6
442 63803 3
444 82153 2
445 50160 1
447 1316 9
447 53304 5
447 78281 2
448 2 2
450 26166 10
450 44710 3
450 58074 6
450 73262 3
452 12623 9
452 29527 3
452 39449 3
453 11346 6
454 54717 2
455 41418 9
456 35394 8
456 38940 6
457 16901 2
457 58326 2
457 75969 2
458 14586 7
458 35834 9
458 82380 8
459 3194 5
459 29020 5
459 70122 4
459 98529 8
461 3362 9
461 13281 2
463 15532 2
465 48032 2
465 62756 2
465 85937 10
466 32302 6
466 44055 5
466 48631 2
466 58554 5
466 79712 10
468 29632 7
470 93240 9
471 70077 8
471 70835 2
471 87545 1
471 99867 3
472 7196 3
472 67945 2
472 95699 2
474 34588 1
474 90115 3
475 11375 3
475 74919 4
476 62411 10
476 80251 1
477 62997 1
477 63789 6
479 9311 7
479 13896 7
480 25616 5
480 37178 7
480 57184 8
480 83992 7
480 96467 8
481 43384 1
481 81248 6
482 42318 6
482 45792 6
483 7254 9
484 8029 10
485 11056 5
486 88478 8
487 26838 9
489 10796 4
490 95299 9
491 61853 1
492 49855 8
492 81971 3
493 70156 4
494 62233 9
494 75803 5
494 97758 7
495 17928 4
496 18339 9
497 97756 8
499 34940 4
499 55059 1
499 83571 5
499 96769 3
501 11463 9
502 39790 9
503 44781 9
507 63319 8
508 14116 7
508 41722 9
508 53955 9
509 77793 5
509 85973 4
510 12185 6
511 32524 3
511 46793 5
512 77354 2
513 78968 10
514 40590 3
514 92293 5
515 69559 10
515 93058 6
518 53028 2
519 57666 3
520 2029 9
520 15678 2
520 91867 7
521 69236 7
523 38549 5
523 42319 7
523 61285 6
523 70906 9
524 43275 10
525 15951 2
525 25824 3
525 28361 8
526 85331 1
527 98758 3
528 2977 6
528 22535 9
528 91861 1
529 20560 6
529 20698 3
531 7129 6
531 75451 1
532 87230 6
532 91213 1
534 16270 4
535 24827 7
536 1100 5
536 34632 10
536 37036 7
536 51425 10
537 89513 1
538 19978 9
538 22388 1
538 85908 2
539 65354 7
539 78147 7
540 7930 7
540 72072 4
540 86712 5
541 20121 7
541 52536 3
542 11669 6
542 45998 1
544 67614 2
545 95946 8
547 47894 3
547 95373 7
548 99485 7
549 18669 6
549 21334 2
549 23486 9
552 41013 1
552 99046 4
553 75214 6
554 18463 1
554 93829 9
555 9260 3
556 68665 6
558 14689 8
558 89478 9
559 209 7
559 791 8
560 33776 9
560 63105 7
561 25227 2
561 28401 5
561 39251 6
562 16870 10
562 65290 10
563 63615 10
563 64211 8
563 67092 4
563 69838 5
564 29296 8
564 40656 6
564 68634 5
564 93631 2
565 77936 2
566 30664 1
566 35968 7
567 91044 6
569 68987 1
569 77217 10
569 79609 1
572 30776 7
572 81795 2
573 30043 10
574 41167 1
574 89592 9
575 8988 7
575 72010 1
575 73502 6
576 17179 7
579 16708 1
579 79009 4
581 48276 10
581 58452 7
582 36986 9
583 2046 9
583 22943 7
584 30170 10
584 63835 6
585 28578 2
585 50646 5
585 60201 3
586 87033 7
587 21568 1
587 65104 6
588 61435 1
588 91804 1
589 28178 3
589 57362 8
589 62152 3
589 64351 2
589 82833 8
591 13044 1
591 84370 5
592 45451 9
593 90370 1
595 93147 4
596 10232 8
598 85083 3
599 41323 1
602 21750 4
602 74620 3
602 98721 4
603 8966 3
604 14075 2
604 16798 3
605 24098 3
605 31803 8
607 32253 2
610 22276 8
610 98649 1
612 19163 8
612 22164 2
612 93992 8
613 16875 8
614 8551 7
614 78902 10
614 81857 10
615 1938 1
616 61634 7
617 51521 3
618 48638 4
619 55868 6
619 60851 3
619 92931 9
620 73410 7
620 93840 6
622 66430 2
622 77104 4
622 90054 10
623 49329 4
625 63380 9
625 88246 5
626 11322 7
627 13205 1
627 30443 6
628 40355 1
629 67556 5
631 45278 5
631 87041 3
632 26451 4
632 28063 5
632 64314 2
633 53574 7
634 10301 4
634 48029 2
635 27743 5
635 44364 3
635 93949 1
636 5240 6
636 56932 1
636 72432 5
639 84505 9
639 99342 7
639 99393 10
642 513 9
642 84290 3
643 57487 7
643 93201 2
644 7570 8
644 13769 6
645 14118 5
645 28321 6
645 70961 2
645 87222 2
646 86553 8
646 95239 7
647 42403 2
648 87991 2
649 7675 1
649 71493 6
649 84800 5
651 5294 8
652 45856 10
652 64128 3
652 74500 1
652 96791 1
653 38638 7
653 46795 4
654 68933 3
654 75989 2
655 31669 6
655 61284 10
655 66083 3
655 80602 4
655 84434 1
655 99138 1
656 55158 8
657 92579 7
658 66889 5
659 93133 5
660 14384 4
660 23658 9
